QueriedName,CompanyNumber,MatchedName,MatchedNumber,MatchSource
AIRLOUNGE CONSULTING LIMITED,11935621,AIRLOUNGE CONSULTING LIMITED,11935621,CompanyNumber
AIRLUME VENTURES LP,SL030787,AIRLUME VENTURES LP,SL030787,CompanyNumber
AIRLUN LTD,15491727,AIRLUN LTD,15491727,CompanyNumber
AIRLUXE HOSPITALITY LTD,14973310,AIRLUXE HOSPITALITY LTD,14973310,CompanyNumber
AIRLUXE LTD,05899691,AIRLUXE LTD,05899691,CompanyNumber
AIRLUXE MANAGEMENT LTD,15182448,AIRLUXE MANAGEMENT LTD,15182448,CompanyNumber
AIRLUXJETS LTD,14970234,AIRLUXJETS LTD,14970234,CompanyNumber
AIRLY AIR QUALITY SERVICES LTD,13653711,AIRLY AIR QUALITY SERVICES LTD,13653711,CompanyNumber
AIRLY INC.,FC039704,AIRLY INC.,FC039704,CompanyNumber
AIRLY LIMITED,13463723,AIRLY LIMITED,13463723,CompanyNumber
AIRLYNX CRUISE PARKING LIMITED,15609240,AIRLYNX CRUISE PARKING LIMITED,15609240,CompanyNumber
AIRLYNX PARKING LIMITED,08458344,AIRLYNX PARKING LIMITED,08458344,CompanyNumber
AIRMA LIMITED,12269548,AIRMA LIMITED,12269548,CompanyNumber
AIRMAC GDI LIMITED,SC380200,WOODSIDE 1 LIMITED,SC380200,CompanyNumber
AIRMAC UK LTD,09049162,AIRMAC UK LTD,09049162,CompanyNumber
AIRMAC VBE LIMITED,SC560321,WOODSIDE 2 LIMITED,SC560321,CompanyNumber
AIRMACS AVIATION LIMITED,14093783,AIRMACS AVIATION LIMITED,14093783,CompanyNumber
AIRMAGEDDON PRODUCTIONS LTD,09744790,AIRMAGEDDON PRODUCTIONS LTD,09744790,CompanyNumber
AIRMAGIC LTD,15519892,AIRMAGIC LTD,15519892,CompanyNumber
AIRMAIL  LIMITED,10062314,AIRMAIL LONDON LIMITED,10062314,CompanyNumber
AIRMAIL PRESS LTD,13645028,AIRMAIL PRESS LTD,13645028,CompanyNumber
AIRMAILS LIMITED,10064414,AIRMAILS LIMITED,10064414,CompanyNumber
AIRMAKE LTD,11846953,CONSHURST PROPERTIES LIMITED,11846953,CompanyNumber
AIRLINE TRAVELS LTD,08403564,AIRLINE TRAVELS LIMITED,08403564,CompanyNumber
AIRLINE VENTURES LTD,11044404,AIRLINE VENTURES LIMITED,11044404,CompanyNumber
AIRLINEN LTD,10141677,AIRLINEN LTD,10141677,CompanyNumber
AIRLINEPREP LTD,10399598,AIRLINEPREP LIMITED,10399598,CompanyNumber
AIRLINEPROS NORTHERN EUROPE LTD,13079551,SIDHU G & CO LTD,13079551,CompanyNumber
AIRLINER FOR RENT LTD,11157631,S & Z ENTERPRISE LIMITED,11157631,CompanyNumber
AIRLINER1 EUROPE LTD,SC464056,AIRLINER1 EUROPE LIMITED,SC464056,CompanyNumber
AIRLINERS LIVE LTD,14063003,GEMINI CLEANING LTD,14063003,CompanyNumber
AIRLINE 4 DIALOGUE LTD,05883574,AIRLINES 4 DIALOGUE LIMITED,05882574,CompanyName
AIRLINE BAGAGE LTD,15139570,AIRLINES BAGAGE LTD,15139570,CompanyNumber
AIRLINE GLOBAL SOLUTIONS LTD,13776613,KATIE CLARK BOUTIQUE LIMITED,13776613,CompanyNumber
AIRLINE MARKET LTD,10899619,AIRLINES MARKET LIMITED,10899619,CompanyNumber
AIRLINE PAYMENT SYSTEM LTD,15434683,AIRLINES PAYMENT SYSTEM LTD,15434683,CompanyNumber
AIRLINE RESERVATIONS LTD,14869093,360 LAB LTD,14869093,CompanyNumber
AIRLINE SOFTWARE SOLUTIONS LTD,15346457,WHITTWHITEMAG LTD,15346457,CompanyNumber
AIRLINE UK - THE ASSOCIATION OF UK AIRLINE LTD,04466066,AIRLINES UK - THE ASSOCIATION OF UK AIRLINES LIMITED,04466066,CompanyNumber
AIRLINEOLUTIONS LTD,11044170,AIRLINESOLUTIONS LTD,11044170,CompanyNumber
AIRLINGUA INTERNATIONAL LTD,09084985,AIRLINGUA INTERNATIONAL LTD,09084985,CompanyNumber
AIRLINKS 4 U LTD,05057638,AIRLINK 4 U LIMITED,05057638,CompanyNumber
AIRLINKS COMMUNICATION LTD,15318950,WARREN DEVENEYS LTD,15318950,CompanyNumber
AIRLINKS GLOBAL TRAVEL LTD,15733939,AIRLINK GLOBAL TRAVEL LIMITED,15733939,CompanyNumber
AIRLINKS HOLIDAYS LTD,06590854,AIRLINK HOLIDAYS LIMITED,06590854,CompanyNumber
